member_id_a,member_id_b,mp_name_a,mp_name_b,state_a,state_b,constituency_a,constituency_b,name_similarity,constituency_similarity,same_state,overall_similarity,potential_duplicate,duplicate_reason
108,390,CHAVAN VASANTRAO BALWANTRAO,Ravindra Vasantrao Chavan,Maharashtra,Maharashtra,NANDED,NANDED,0.6054,1.0,True,0.7633,True,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; similar constituency name; name similarity 0.61)
226,227,KALI CHARAN MUNDA,KALI CHARAN SINGH,Jharkhand,Jharkhand,KHUNTI,CHATRA,0.5809,0.0,True,0.4986,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.58)
77,459,Bhagirath Chaudhary,PP Chaudhary,Rajasthan,Rajasthan,AJMER,PALI,0.4542,0.0,True,0.4225,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.45)
229,336,Kalyan Banerjee,Prasun Banerjee,West Bengal,West Bengal,SREERAMPUR,HOWRAH,0.4519,0.0,True,0.4211,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.45)
46,290,ARUN BHARTI,MISHA BHARTI,Bihar,Bihar,JAMUI,PATALIPUTRA,0.4438,0.0,True,0.4163,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.44)
336,351,Prasun Banerjee,RACHNA BANERJEE,West Bengal,West Bengal,HOWRAH,HOOGHLY,0.4393,0.0,True,0.4136,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.44)
229,351,Kalyan Banerjee,RACHNA BANERJEE,West Bengal,West Bengal,SREERAMPUR,HOOGHLY,0.4387,0.0,True,0.4132,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.44)
349,375,R.K. CHAUDHARY,RAM PRASAD CHAUDHARY,Uttar Pradesh,Uttar Pradesh,MOHANLALGANJ,BASTI,0.4213,0.0,True,0.4028,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.42)
336,435,Prasun Banerjee,Abhishek Banerjee,West Bengal,West Bengal,HOWRAH,DIAMOND HARBOUR,0.4172,0.0,True,0.4003,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.42)
229,435,Kalyan Banerjee,Abhishek Banerjee,West Bengal,West Bengal,SREERAMPUR,DIAMOND HARBOUR,0.4167,0.0,True,0.4,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.42)
