member_id,sr_no,state_raw,mp_name_raw,constituency_raw,allocated_amount,allocated_amount_raw,state,mp_name,mp_name_clean,has_title_prefix,name_case_consistent,name_has_double_space,constituency,amount_missing,amount_has_paise,constituency_category,constituency_base,member_key
1,1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,190289442,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,AASHTIKAR PATIL NAGESH BAPURAO,False,False,False,HINGOLI,False,False,general,HINGOLI,maharashtra|aashtikar patil nagesh bapurao|hingoli
2,2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,147000000.0,147000000,Jammu And Kashmir,ABDUL RASHID SHEIKH,ABDUL RASHID SHEIKH,False,False,False,BARAMULLAH,False,False,general,BARAMULLAH,jammu and kashmir|abdul rashid sheikh|baramullah
3,3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,147000000,Bihar,ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,False,False,False,AURANGABAD_BR,False,False,general,AURANGABAD (BR),bihar|abhay kumar sinha|aurangabad_br
4,4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,147000000,West Bengal,ABHIJIT GANGOPADHYAY,ABHIJIT GANGOPADHYAY,False,False,False,TAMLUK,False,False,general,TAMLUK,west bengal|abhijit gangopadhyay|tamluk
5,5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,147000000,West Bengal,Abu Taher Khan,Abu Taher Khan,False,True,False,MURSHIDABAD,False,False,general,MURSHIDABAD,west bengal|abu taher khan|murshidabad
6,6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,147000000,West Bengal,ADHIKARI SOUMENDU,ADHIKARI SOUMENDU,False,False,False,KANTHI,False,False,general,KANTHI,west bengal|adhikari soumendu|kanthi
7,7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,147000000,Uttar Pradesh,ADITYA YADAV,ADITYA YADAV,False,False,False,BADAUN,False,False,general,BADAUN,uttar pradesh|aditya yadav|badaun
8,8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,147000000,Kerala,Adv Adoor Prakash,Adoor Prakash,True,True,False,ATTINGAL,False,False,general,ATTINGAL,kerala|adoor prakash|attingal
9,9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,147000000,Kerala,Adv Dean Kuriakose,Dean Kuriakose,True,True,False,IDUKKI,False,False,general,IDUKKI,kerala|dean kuriakose|idukki
10,10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,147816309.11,Maharashtra,ADV GOWAAL KAGADA PADAVI,GOWAAL KAGADA PADAVI,True,False,False,NANDURBAR(ST),False,True,st,NANDURBAR,maharashtra|gowaal kagada padavi|nandurbar(st)
11,11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,188722256.11,Kerala,ADV K FRANCIS GEORGE,K FRANCIS GEORGE,True,False,False,KOTTAYAM,False,True,general,KOTTAYAM,kerala|k francis george|kottayam
