member_id,risk_score,risk_level,risk_escalated,financial_risk,data_quality_risk,duplicate_risk,interest_risk,max_duplicate_similarity,flagged_duplicate_pair,anomaly_reasons,ensemble_score,anomaly_votes,state,mp_name,constituency,allocated_amount,benchmark_amount,deviation_from_benchmark_pct,paise_component,amount_missing,name_quality_score,risk_factors,recommended_actions,lofo_attribution
1,31.0,MEDIUM,False,70.0,12.0,0.0,0.0,0.0,False,['Allocation is 29% above the ₹14.7 cr full-entitlement benchmark'],0.2329,1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,147000000.0,29.448600000000003,0.0,False,0.75,"[{'factor': 'Allocation 29% above entitlement benchmark', 'contribution_points': 28.0, 'support': '₹19.03 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}]",['Review sanction ledger for carry-forward/unspent balances explaining the excess'],"{'benchmark_ratio': 0.0049, 'log_amount': 0.0139, 'excess_over_benchmark_cr': 0.0183, 'shortfall_ratio': 0.0009, 'paise_component': 0.0111, 'state_deviation_pct': 0.0076, 'state_percentile': 0.0038, 'amount_missing_ind': 0.0109, 'name_quality_score': -0.0107}"
2,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False,[],0.0148,0,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
3,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0,0,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
4,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0,0,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
5,0.3,LOW,False,0.8,0.0,0.0,0.0,0.0,False,[],0.0132,0,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
6,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0,0,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
7,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0004,0,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
8,5.6,LOW,False,1.1,12.0,10.8,0.0,0.2693,False,[],0.0186,0,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,147000000.0,0.0,0.0,False,0.85,[],['No investigative action indicated by current signals'],{}
9,3.4,LOW,False,1.1,12.0,0.0,0.0,0.0,False,[],0.0186,0,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,147000000.0,0.0,0.0,False,0.85,[],['No investigative action indicated by current signals'],{}
10,13.6,LOW,False,7.2,25.0,0.0,30.1,0.0,False,['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual'],0.1205,1,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,147000000.0,0.5553123197278964,11.0,False,0.6,"[{'factor': 'Member name formatting defects', 'contribution_points': 6.2, 'support': 'name hygiene score 0.60 (title prefixes / casing / spacing hinder record matching)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.5, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],{}
11,39.4,MEDIUM,False,70.0,25.0,0.0,34.2,0.0,False,"['Allocation is 28% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.26)']",0.2643,2,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,147000000.0,28.382487149659873,11.0,False,0.6,"[{'factor': 'Allocation 28% above entitlement benchmark', 'contribution_points': 28.0, 'support': '₹18.87 cr vs benchmark ₹14.7 cr (2/3 methods agree)'}, {'factor': 'Member name formatting defects', 'contribution_points': 6.2, 'support': 'name hygiene score 0.60 (title prefixes / casing / spacing hinder record matching)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 5.1, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]","['Review sanction ledger for carry-forward/unspent balances explaining the excess', 'Reconcile interest accrual on unspent balance with agency bank statements']","{'benchmark_ratio': -0.0192, 'log_amount': -0.0168, 'excess_over_benchmark_cr': -0.0006, 'shortfall_ratio': -0.021, 'paise_component': -0.0395, 'state_deviation_pct': -0.0319, 'state_percentile': -0.0068, 'amount_missing_ind': 0.0092, 'name_quality_score': 0.1275}"
12,39.0,MEDIUM,False,90.0,12.0,0.0,0.0,0.0,False,"['Allocation is 50% above the ₹14.7 cr full-entitlement benchmark', '2/3 anomaly methods agree (ensemble score 0.36)']",0.3607,2,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,147000000.0,50.0,0.0,False,0.75,"[{'factor': 'Allocation 50% above entitlement benchmark', 'contribution_points': 36.0, 'support': '₹22.05 cr vs benchmark ₹14.7 cr (2/3 methods agree)'}]",['Review sanction ledger for carry-forward/unspent balances explaining the excess'],"{'benchmark_ratio': 0.0153, 'log_amount': 0.0063, 'excess_over_benchmark_cr': 0.0593, 'shortfall_ratio': 0.005, 'paise_component': -0.0164, 'state_deviation_pct': 0.0304, 'state_percentile': 0.0033, 'amount_missing_ind': 0.0162, 'name_quality_score': -0.0047}"
13,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False,[],0.0148,0,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
14,3.7,LOW,False,1.9,0.0,14.5,0.0,0.3613,False,[],0.0313,0,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
15,0.3,LOW,False,0.8,0.0,0.0,0.0,0.0,False,[],0.0135,0,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
16,3.7,LOW,False,1.9,0.0,14.5,0.0,0.3613,False,[],0.0313,0,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
