member_id,sr_no,state,mp_name,mp_name_clean,constituency,constituency_base,constituency_category,allocated_amount,amount_missing,amount_has_paise,benchmark_amount,benchmark_ratio,log_amount,excess_over_benchmark_cr,shortfall_ratio,paise_component,state_median_amount,state_deviation_pct,state_percentile,national_percentile,is_above_benchmark,is_below_benchmark,name_quality_score,amount_missing_ind,national_median_amount,deviation_from_national_median_pct,deviation_from_state_median_pct,deviation_from_benchmark_pct,benchmark_verdict,peer_state_n
1,1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,HINGOLI,general,190289442.0,False,False,147000000.0,1.294486,8.279414692604718,4.3289442,0.0,0.0,147000000.0,0.294486,0.9583333333333334,0.9558011049723757,True,False,0.75,0.0,147000000.0,29.448600000000003,29.448600000000003,29.448600000000003,ABOVE BENCHMARK,49
2,2,Jammu And Kashmir,ABDUL RASHID SHEIKH,ABDUL RASHID SHEIKH,BARAMULLAH,BARAMULLAH,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.6,0.3683241252302026,False,False,0.75,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,5
3,3,Bihar,ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,AURANGABAD_BR,AURANGABAD (BR),general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.425,0.3683241252302026,False,False,0.75,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,40
4,4,West Bengal,ABHIJIT GANGOPADHYAY,ABHIJIT GANGOPADHYAY,TAMLUK,TAMLUK,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.44047619047619047,0.3683241252302026,False,False,0.75,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,42
5,5,West Bengal,Abu Taher Khan,Abu Taher Khan,MURSHIDABAD,MURSHIDABAD,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.44047619047619047,0.3683241252302026,False,False,1.0,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,42
6,6,West Bengal,ADHIKARI SOUMENDU,ADHIKARI SOUMENDU,KANTHI,KANTHI,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.44047619047619047,0.3683241252302026,False,False,0.75,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,42
7,7,Uttar Pradesh,ADITYA YADAV,ADITYA YADAV,BADAUN,BADAUN,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.4,0.3683241252302026,False,False,0.75,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,80
8,8,Kerala,Adv Adoor Prakash,Adoor Prakash,ATTINGAL,ATTINGAL,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.375,0.3683241252302026,False,False,0.85,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,20
9,9,Kerala,Adv Dean Kuriakose,Dean Kuriakose,IDUKKI,IDUKKI,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.375,0.3683241252302026,False,False,0.85,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,20
10,10,Maharashtra,ADV GOWAAL KAGADA PADAVI,GOWAAL KAGADA PADAVI,NANDURBAR(ST),NANDURBAR,st,147816309.11,False,True,147000000.0,1.005553123197279,8.169722353989249,0.08163091100000143,0.0,11.0,147000000.0,0.005553123197279009,0.7708333333333334,0.7550644567219152,True,False,0.6,0.0,147000000.0,0.555312319727901,0.555312319727901,0.5553123197278964,ABOVE BENCHMARK,49
11,11,Kerala,ADV K FRANCIS GEORGE,K FRANCIS GEORGE,KOTTAYAM,KOTTAYAM,general,188722256.11,False,True,147000000.0,1.2838248714965987,8.275823119750509,4.172225611000002,0.0,11.0,147000000.0,0.28382487149659874,1.0,0.9521178637200737,True,False,0.6,0.0,147000000.0,28.382487149659873,28.382487149659873,28.382487149659873,ABOVE BENCHMARK,20
12,12,Uttar Pradesh,AFZAL ANSARI,AFZAL ANSARI,GHAZIPUR,GHAZIPUR,general,220500000.0,False,False,147000000.0,1.5,8.343408593803858,7.35,0.0,0.0,147000000.0,0.5,1.0,0.9834254143646409,True,False,0.75,0.0,147000000.0,50.0,50.0,50.0,ABOVE BENCHMARK,80
13,13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,AGA SYED RUHULLAH MEHDI,SRINAGAR,SRINAGAR,general,147000000.0,False,False,147000000.0,1.0,8.167317334748176,0.0,0.0,0.0,147000000.0,0.0,0.6,0.3683241252302026,False,False,0.75,0.0,147000000.0,0.0,0.0,0.0,AT BENCHMARK,5
