member_id,risk_score,risk_level,risk_escalated,financial_risk,data_quality_risk,duplicate_risk,interest_risk,max_duplicate_similarity,flagged_duplicate_pair
1,31.0,MEDIUM,False,70.0,12.0,0.0,0.0,0.0,False
2,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False
3,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
4,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
5,0.3,LOW,False,0.8,0.0,0.0,0.0,0.0,False
6,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
7,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
8,5.6,LOW,False,1.1,12.0,10.8,0.0,0.2693,False
9,3.4,LOW,False,1.1,12.0,0.0,0.0,0.0,False
10,13.6,LOW,False,7.2,25.0,0.0,30.1,0.0,False
11,39.4,MEDIUM,False,70.0,25.0,0.0,34.2,0.0,False
12,39.0,MEDIUM,False,90.0,12.0,0.0,0.0,0.0,False
13,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False
14,3.7,LOW,False,1.9,0.0,14.5,0.0,0.3613,False
15,0.3,LOW,False,0.8,0.0,0.0,0.0,0.0,False
16,3.7,LOW,False,1.9,0.0,14.5,0.0,0.3613,False
17,5.6,LOW,False,0.0,12.0,12.9,0.0,0.3237,False
18,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
19,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
20,3.7,LOW,False,1.7,12.0,0.0,0.0,0.0,False
21,0.3,LOW,False,0.8,0.0,0.0,0.0,0.0,False
22,5.1,LOW,False,0.3,12.0,9.7,0.0,0.2436,False
23,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
24,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False
25,36.3,MEDIUM,False,70.0,12.0,0.0,35.5,0.0,False
26,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False
27,27.8,MEDIUM,False,50.0,12.0,0.0,31.9,0.0,False
28,4.9,LOW,False,0.1,12.0,9.5,0.0,0.2371,False
29,6.0,LOW,False,0.0,12.0,14.8,0.0,0.3693,False
30,6.0,LOW,False,0.0,12.0,14.8,0.0,0.3693,False
31,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False
32,0.8,LOW,False,2.0,0.0,0.0,0.0,0.0,False
33,17.0,LOW,False,35.0,12.0,0.0,0.0,0.0,False
34,3.7,LOW,False,1.7,12.0,0.0,0.0,0.0,False
35,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False
36,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
37,3.1,LOW,False,0.3,12.0,0.0,0.0,0.0,False
38,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False
39,24.8,LOW,False,50.0,0.0,0.0,32.0,0.0,False
40,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
41,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False
42,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
43,3.4,LOW,False,0.9,0.0,15.1,0.0,0.3775,False
44,9.7,LOW,False,8.1,0.0,9.6,30.3,0.2391,False
45,2.8,LOW,False,7.1,0.0,0.0,0.0,0.0,False
46,39.6,MEDIUM,False,70.0,12.0,16.7,34.8,0.4163,False
47,4.7,LOW,False,0.0,12.0,8.5,0.0,0.2129,False
48,3.6,LOW,False,1.4,12.0,0.0,0.0,0.0,False
49,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False
50,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
51,42.5,MEDIUM,False,90.0,0.0,0.0,43.4,0.0,False
52,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False
53,0.5,LOW,False,1.3,0.0,0.0,0.0,0.0,False
54,5.0,LOW,False,0.3,12.0,9.2,0.0,0.2288,False
55,3.1,LOW,False,0.9,0.0,13.8,0.0,0.3448,False
56,3.1,LOW,False,0.8,0.0,13.8,0.0,0.3448,False
57,42.4,MEDIUM,False,90.0,0.0,0.0,42.9,0.0,False
58,15.0,LOW,False,30.0,12.0,0.0,0.0,0.0,False
59,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False
60,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
61,28.0,MEDIUM,False,50.0,12.0,0.0,33.3,0.0,False
62,19.7,LOW,False,30.0,12.0,0.0,31.3,0.0,False
63,4.8,LOW,False,0.0,12.0,9.1,0.0,0.2287,False
64,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
65,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
66,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False
67,29.5,MEDIUM,False,50.0,12.0,8.5,31.9,0.2136,False
68,10.8,LOW,False,3.9,12.0,8.7,30.0,0.2167,False
69,2.8,LOW,False,7.1,0.0,0.0,0.0,0.0,False
70,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False
71,31.0,MEDIUM,False,70.0,12.0,0.0,0.0,0.0,False
72,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
73,12.0,LOW,False,30.0,0.0,0.0,0.0,0.0,False
74,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
75,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
76,19.7,LOW,False,30.0,12.0,0.0,31.3,0.0,False
77,3.7,LOW,False,0.8,0.0,16.9,0.0,0.4225,False
78,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
79,21.4,LOW,False,30.0,12.0,9.1,30.4,0.2287,False
80,3.1,LOW,False,0.2,12.0,0.0,0.0,0.0,False
81,0.4,LOW,False,1.1,0.0,0.0,0.0,0.0,False
82,21.6,LOW,False,30.0,12.0,10.1,30.7,0.2522,False
83,6.0,LOW,False,0.1,12.0,15.0,0.0,0.3742,False
84,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
85,27.8,MEDIUM,False,50.0,12.0,0.0,31.8,0.0,False
86,0.4,LOW,False,0.9,0.0,0.0,0.0,0.0,False
87,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
88,2.8,LOW,False,7.1,0.0,0.0,0.0,0.0,False
89,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
90,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False
91,0.6,LOW,False,1.5,0.0,0.0,0.0,0.0,False
92,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False
93,3.7,LOW,False,1.7,12.0,0.0,0.0,0.0,False
94,4.5,LOW,False,3.7,12.0,0.0,0.0,0.0,False
95,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
96,19.6,LOW,False,30.0,12.0,0.0,30.7,0.0,False
97,3.1,LOW,False,0.3,12.0,0.0,0.0,0.0,False
98,18.4,LOW,False,30.0,0.0,8.6,31.2,0.214,False
99,36.3,MEDIUM,False,70.0,12.0,0.0,35.6,0.0,False
100,7.6,LOW,False,3.4,25.0,0.0,0.0,0.0,False
101,8.3,LOW,False,5.1,25.0,0.0,0.0,0.0,False
102,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False
103,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
104,3.0,LOW,False,0.8,0.0,13.2,0.0,0.3303,False
105,4.7,LOW,False,0.0,12.0,8.4,0.0,0.211,False
106,3.1,LOW,False,0.2,12.0,0.0,0.0,0.0,False
107,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
108,59.8,CRITICAL,True,60.0,82.0,76.3,0.0,0.7633,True
109,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
110,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
111,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
112,4.8,LOW,False,4.4,12.0,0.0,0.0,0.0,False
113,4.9,LOW,False,0.0,12.0,9.4,0.0,0.2357,False
114,6.9,LOW,False,6.0,0.0,0.0,30.2,0.0,False
115,16.7,LOW,False,30.0,0.0,0.0,31.3,0.0,False
116,33.3,MEDIUM,False,70.0,0.0,0.0,35.1,0.0,False
117,2.8,LOW,False,7.1,0.0,0.0,0.0,0.0,False
118,5.9,LOW,False,7.3,12.0,0.0,0.0,0.0,False
119,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
120,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
121,4.9,LOW,False,0.3,12.0,9.1,0.0,0.2263,False
122,3.1,LOW,False,0.3,12.0,0.0,0.0,0.0,False
123,0.4,LOW,False,0.9,0.0,0.0,0.0,0.0,False
124,27.8,MEDIUM,False,50.0,12.0,0.0,31.7,0.0,False
125,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
126,0.4,LOW,False,1.1,0.0,0.0,0.0,0.0,False
127,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False
128,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False
129,5.7,LOW,False,0.8,12.0,12.1,0.0,0.3016,False
130,5.4,LOW,False,0.0,12.0,12.1,0.0,0.3016,False
131,3.1,LOW,False,0.2,12.0,0.0,0.0,0.0,False
132,16.5,LOW,False,30.0,0.0,0.0,30.3,0.0,False
133,0.6,LOW,False,1.5,0.0,0.0,0.0,0.0,False
134,16.5,LOW,False,30.0,0.0,0.0,30.3,0.0,False
135,19.7,LOW,False,30.0,12.0,0.0,31.3,0.0,False
136,22.8,LOW,False,30.0,25.0,0.0,30.4,0.0,False
137,7.6,LOW,False,3.4,25.0,0.0,0.0,0.0,False
138,21.4,LOW,False,30.0,12.0,8.4,31.3,0.211,False
139,9.4,LOW,False,3.5,25.0,9.0,0.0,0.2256,False
140,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False
141,7.8,LOW,False,3.8,25.0,0.0,0.0,0.0,False
142,9.8,LOW,False,5.6,12.0,0.0,30.2,0.0,False
143,10.9,LOW,False,3.7,25.0,15.8,0.0,0.3955,False
144,22.8,LOW,False,30.0,25.0,0.0,30.6,0.0,False
145,3.4,LOW,False,1.1,12.0,0.0,0.0,0.0,False
146,19.6,LOW,False,30.0,12.0,0.0,31.0,0.0,False
147,7.8,LOW,False,3.8,25.0,0.0,0.0,0.0,False
148,7.8,LOW,False,3.8,25.0,0.0,0.0,0.0,False
149,7.8,LOW,False,3.8,25.0,0.0,0.0,0.0,False
150,8.0,LOW,False,4.3,25.0,0.0,0.0,0.0,False
151,31.1,MEDIUM,False,50.0,25.0,0.0,32.3,0.0,False
152,7.8,LOW,False,3.8,25.0,0.0,0.0,0.0,False
153,7.6,LOW,False,3.4,25.0,0.0,0.0,0.0,False
154,10.8,LOW,False,4.8,25.0,13.2,0.0,0.3309,False
155,22.9,LOW,False,30.0,25.0,0.0,31.3,0.0,False
156,9.6,LOW,False,3.5,25.0,9.7,0.0,0.243,False
157,51.7,HIGH,False,90.0,25.0,16.0,41.6,0.3992,False
158,9.5,LOW,False,3.7,25.0,9.0,0.0,0.2256,False
159,10.6,LOW,False,3.5,25.0,14.5,0.0,0.3626,False
160,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False
